URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it
,Barat,Sambikerep,162,149,3,2,2,"Rp2,500,000,000",Belum,Utara,Tengah,8,2,N,Y,2200,N,Y,Y,N,N,N,N,N,Not Worth-It
,Selatan,Gayungan,56,85,3,3,2,"Rp1,470,000,000",Belum,Selatan,Hook,6,0,N,N,2200,N,N,Y,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,156,250,4,4,1,"Rp2,000,000,000",Belum,Selatan,Tengah,6,1,Y,Y,2200,N,Y,Y,Y,N,N,N,N,Worth-It
,Barat,Karang Pilang,205,180,3,2,1,"Rp1,200,000,000",Belum,Selatan,Tengah,6,3,Y,Y,2200,N,N,Y,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,135,170,5,4,2,"Rp2,800,000,000",Belum,Utara,Tengah,6,2,N,Y,2200,N,Y,Y,N,N,N,N,N,Not Worth-It
,Timur,Rungkut,105,180,4,4,2,"Rp1,950,000,000",Belum,Selatan,Tengah,6,2,Y,Y,2200,N,Y,Y,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,200,300,5,5,2,"Rp5,000,000,000",Belum,Selatan,Tengah,6,2,Y,Y,3300,N,Y,Y,Y,N,N,N,N,Worth-It
,Utara,Kenjeran,135,210,5,4,2,"Rp3,200,000,000",Belum,Selatan,Tengah,6,0,N,Y,3500,N,Y,Y,N,N,N,N,N,Not Worth-It
,Utara,Kenjeran,120,150,5,4,2,"Rp2,600,000,000",Belum,Selatan,Tengah,6,2,N,Y,2200,N,Y,Y,Y,N,N,N,N,Not Worth-It
,Timur,Sukolilo,136,195,5,4,2,"Rp3,350,000,000",Belum,Utara,Tengah,10,2,N,Y,2200,N,N,Y,N,N,N,N,N,Not Worth-It
,Timur,Tenggilis Mejoyo,78,120,4,4,2,"Rp1,890,000,000",Belum,Selatan,Hook,6,1,Y,Y,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,120,100,4,1,1,"Rp1,650,000,000",Belum,Selatan,Hook,6,1,Y,N,3500,N,Y,N,Y,N,N,N,N,Worth-It
,Utara,Semampir,300,200,3,2,1,"Rp1,600,000,000",Belum,Selatan,Hook,6,0,Y,N,2200,N,Y,Y,N,N,N,N,N,Worth-It
,Timur,Sukolilo,90,180,4,3,2,"Rp1,450,000,000",Belum,Utara,Hook,6,1,Y,N,4400,N,Y,N,N,N,N,N,N,Worth-It
,Selatan,Jambangan,120,90,3,1,1,"Rp1,650,000,000",Belum,Barat,Hook,6,2,Y,N,2200,N,N,Y,N,N,N,N,N,Worth-It
,Selatan,Gayungan,136,150,2,2,1,"Rp2,790,000,000",Belum,Selatan,Hook,6,2,Y,N,2200,N,Y,N,N,Y,N,N,N,Not Worth-It
,Timur,Gunung Anyar,50,35,2,1,1,"Rp525,000,000",Belum,Timur,Hook,6,0,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,48,45,2,1,2,"Rp565,000,000",Belum,Selatan,Hook,6,1,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Selatan,Wonokromo,60,100,3,2,1,"Rp599,000,000",Belum,Utara,Hook,6,0,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Gunung Anyar,50,70,3,2,1,"Rp625,000,000",Belum,Utara,Hook,6,0,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,65,65,2,1,1,"Rp625,000,000",Belum,Selatan,Hook,6,0,Y,N,1300,N,Y,Y,N,N,N,N,N,Worth-It
,Timur,Rungkut,100,60,2,1,1,"Rp650,000,000",Belum,Selatan,Hook,6,0,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Gunung Anyar,70,50,2,1,1,"Rp750,000,000",Belum,Utara,Hook,6,0,Y,N,1300,N,Y,N,N,N,N,N,N,Worth-It
,Selatan,Tambakcemandi,72,85,3,1,2,"Rp750,000,000",Belum,Barat,Hook,6,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Kepuhkiriman,78,120,3,1,2,"Rp795,000,000",Belum,Selatan,Hook,6,0,Y,N,1300,N,N,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,100,70,3,1,1,"Rp875,000,000",Belum,Selatan,Hook,6,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,45,70,2,2,2,"Rp925,000,000",Belum,Barat,Hook,6,1,Y,N,2200,N,Y,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,128,150,4,3,2,"Rp4,500,000,000",Belum,Selatan,Tengah,6,0,Y,Y,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Tenggilis Mejoyo,232,250,4,4,2,"Rp2,680,000,000",Belum,Selatan,Hook,6,0,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Gayungan,360,430,6,6,2,"Rp3,800,000,000",Belum,Utara,Tengah,8,0,Y,N,2200,N,Y,N,N,Y,N,N,N,Worth-It
,Timur,Sukolilo,78,118,3,2,2,"Rp1,850,000,000",Belum,Selatan,Tengah,10,2,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,75,42,2,1,1,"Rp1,050,000,000",Belum,Selatan,Tengah,10,0,Y,N,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Timur,Mulyorejo,126,210,4,3,2,"Rp3,100,000,000",Belum,Selatan,Tengah,6,0,Y,N,3500,N,Y,N,Y,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,75,110,3,3,2,"Rp1,700,000,000",Belum,Selatan,Tengah,10,0,Y,N,2200,N,N,Y,Y,N,N,N,N,Not Worth-It
,Barat,Sambikerep,60,90,2,2,2,"Rp1,000,000,000",Belum,Selatan,Tengah,6,0,Y,Y,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Barat,Lakarsantri,55,80,3,2,2,"Rp1,600,000,000",Belum,Selatan,Tengah,6,0,Y,Y,5500,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,81,114,3,3,2,"Rp1,650,000,000",Belum,Selatan,Tengah,8,0,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
,Timur,Gunung Anyar,200,70,3,2,1,"Rp1,000,000,000",Belum,Utara,Tengah,6,2,Y,N,2200,N,Y,N,N,N,N,N,N,Worth-It
,Barat,Karang Pilang,205,180,3,2,1,"Rp2,500,000,000",Belum,Selatan,Tengah,6,3,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,200,165,4,3,1,"Rp2,600,000,000",Belum,Utara,Tengah,8,0,Y,N,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Timur,Rungkut,180,155,3,2,1,"Rp1,650,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Rungkut,120,180,5,4,2,"Rp2,600,000,000",Belum,Utara,Tengah,8,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Jambangan,256,450,5,5,2,"Rp2,900,000,000",Belum,Barat,Tengah,6,1,Y,N,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Barat,Lakarsantri,150,230,4,4,2,"Rp4,050,000,000",Belum,Timur,Tengah,6,2,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,300,200,4,2,1,"Rp3,350,000,000",Belum,Barat,Tengah,10,0,Y,N,2200,N,N,N,Y,N,N,N,N,Worth-It
,Timur,Sukolilo,78,118,4,4,2,"Rp1,850,000,000",Belum,Selatan,Tengah,10,2,Y,N,2200,N,Y,Y,N,N,N,N,N,Worth-It
,Barat,Dukuh Pakis,250,250,4,3,2,"Rp1,990,000,000",Belum,Selatan,Hook,6,4,Y,N,2200,N,Y,N,Y,N,N,N,N,Worth-It
,Barat,Pakal,94,150,3,3,1,"Rp1,300,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,78,118,3,3,2,"Rp1,850,000,000",Belum,Selatan,Tengah,10,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,138,150,5,4,2,"Rp2,350,000,000",Belum,Selatan,Tengah,6,2,Y,N,4400,N,Y,N,N,N,N,N,N,Worth-It
,Pusat,Gubeng,300,300,4,3,1,"Rp5,240,000,000",Belum,Barat,Tengah,6,1,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Selatan,Gayungan,200,120,3,2,1,"Rp2,800,000,000",Belum,Timur,Tengah,6,2,Y,N,2200,N,Y,N,N,Y,N,N,N,Worth-It
,Timur,Sukolilo,107,173,4,4,2,"Rp2,050,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Gayungan,320,320,6,4,2,"Rp3,250,000,000",Belum,Utara,Tengah,6,3,Y,N,5500,N,Y,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,165,180,3,3,1,"Rp1,320,000,000",Belum,Timur,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Mulyorejo,72,97,3,2,2,"Rp2,300,000,000",Belum,Selatan,Tengah,6,0,Y,N,4400,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Rungkut,200,160,3,3,1,"Rp1,800,000,000",Belum,Utara,Tengah,8,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Utara,Krembangan,250,250,4,2,2,"Rp4,500,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Mulyorejo,135,220,5,4,2,"Rp3,190,000,000",Belum,Selatan,Tengah,8,0,Y,N,3500,N,N,N,N,N,N,N,N,Not Worth-It
,Timur,Sukolilo,78,118,3,3,2,"Rp1,850,000,000",Belum,Utara,Tengah,6,0,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
